"","osm_id","name","amenity","healthcare","name.ar","website","geometry"
"309968085","309968085",NA,NA,NA,NA,NA,c(-7.994433, 31.618932)
"384664648","384664648",NA,NA,NA,NA,NA,c(-7.9947186, 31.6175507)
"384664651","384664651",NA,NA,NA,NA,NA,c(-7.996447, 31.6173513)
"596634878","596634878",NA,NA,NA,NA,NA,c(-7.9957319, 31.6174527)
"597875259","597875259",NA,NA,NA,NA,NA,c(-7.9968528, 31.6181972)
"597875271","597875271",NA,NA,NA,NA,NA,c(-7.9942574, 31.6179717)
"597875273","597875273",NA,NA,NA,NA,NA,c(-7.9943043, 31.6183273)
"597875318","597875318",NA,NA,NA,NA,NA,c(-7.9951364, 31.6188832)
"597875322","597875322",NA,NA,NA,NA,NA,c(-7.9947786, 31.6189856)
"597875326","597875326",NA,NA,NA,NA,NA,c(-7.9950905, 31.6187917)
"1400506437","1400506437",NA,NA,NA,NA,NA,c(-7.9964773, 31.6174208)
"1400506442","1400506442",NA,NA,NA,NA,NA,c(-7.9965684, 31.6176098)
"1400506445","1400506445",NA,NA,NA,NA,NA,c(-7.996614, 31.6176908)
"1400506446","1400506446",NA,NA,NA,NA,NA,c(-7.9942644, 31.6177671)
"1400506447","1400506447",NA,NA,NA,NA,NA,c(-7.9940868, 31.6178112)
"1400506451","1400506451",NA,NA,NA,NA,NA,c(-7.9967219, 31.6179264)
"1400506453","1400506453",NA,NA,NA,NA,NA,c(-7.9967452, 31.617974)
"1400506456","1400506456",NA,NA,NA,NA,NA,c(-7.9941575, 31.6179982)
"1400506469","1400506469",NA,NA,NA,NA,NA,c(-7.994249, 31.6183486)
"1400506489","1400506489",NA,NA,NA,NA,NA,c(-7.9947165, 31.6188566)
"1400506495","1400506495",NA,NA,NA,NA,NA,c(-7.9944513, 31.6189661)
"1636594208","1636594208",NA,NA,NA,NA,NA,c(-7.9935508, 31.6627821)
"1636594209","1636594209",NA,NA,NA,NA,NA,c(-7.9951494, 31.665412)
"1636594210","1636594210",NA,NA,NA,NA,NA,c(-7.9973408, 31.6618826)
"1636594211","1636594211",NA,NA,NA,NA,NA,c(-7.9959836, 31.6651906)
"1636594212","1636594212",NA,NA,NA,NA,NA,c(-7.9968446, 31.6640674)
"1636594213","1636594213",NA,NA,NA,NA,NA,c(-7.9962411, 31.6655764)
"1636594214","1636594214",NA,NA,NA,NA,NA,c(-7.9936206, 31.6626428)
"1636594215","1636594215",NA,NA,NA,NA,NA,c(-7.9962089, 31.6652385)
"1636594216","1636594216",NA,NA,NA,NA,NA,c(-7.9965147, 31.6635903)
"1636594217","1636594217",NA,NA,NA,NA,NA,c(-7.9969948, 31.6614009)
"1636594218","1636594218",NA,NA,NA,NA,NA,c(-7.9965844, 31.6637181)
"1636594219","1636594219",NA,NA,NA,NA,NA,c(-7.9947525, 31.6623734)
"1636594220","1636594220",NA,NA,NA,NA,NA,c(-7.9974293, 31.6632524)
"1636594221","1636594221",NA,NA,NA,NA,NA,c(-7.9975527, 31.6631474)
"1636594222","1636594222",NA,NA,NA,NA,NA,c(-7.9961445, 31.6622205)
"1636594223","1636594223",NA,NA,NA,NA,NA,c(-7.9958951, 31.6623346)
"1636594224","1636594224",NA,NA,NA,NA,NA,c(-7.9950341, 31.6623232)
"1636594225","1636594225",NA,NA,NA,NA,NA,c(-7.9966005, 31.6642181)
"1636594226","1636594226",NA,NA,NA,NA,NA,c(-7.997314, 31.6648961)
"1636594227","1636594227",NA,NA,NA,NA,NA,c(-7.9965522, 31.6619191)
"1636594228","1636594228",NA,NA,NA,NA,NA,c(-7.9976546, 31.6625926)
"1636594229","1636594229",NA,NA,NA,NA,NA,c(-7.9943045, 31.6639692)
"1636594230","1636594230",NA,NA,NA,NA,NA,c(-7.9975607, 31.662757)
"1636594231","1636594231",NA,NA,NA,NA,NA,c(-7.9971826, 31.6611566)
"1636594232","1636594232",NA,NA,NA,NA,NA,c(-7.9975447, 31.6629351)
"1636594233","1636594233",NA,NA,NA,NA,NA,c(-7.9974561, 31.6652888)
"1636594234","1636594234",NA,NA,NA,NA,NA,c(-7.9971128, 31.664766)
"1636594235","1636594235",NA,NA,NA,NA,NA,c(-7.9973274, 31.6633757)
"1636594236","1636594236",NA,NA,NA,NA,NA,c(-7.9968392, 31.6616178)
"1636594237","1636594237",NA,NA,NA,NA,NA,c(-7.9963538, 31.6620698)
"1636594238","1636594238",NA,NA,NA,NA,NA,c(-7.9973489, 31.66333)
